КОПУК,Название,Адрес,Число дней работы парка (Единица),Общая площадь парка (Гектар),Число досуговых объектов: всего (Единица),Число досуговых объектов: требуют капитального ремонта  (Единица),Число досуговых объектов: работающие круглогодично (Единица),"Количество спортивных объектов (залов, площадок): в летний сезон (Единица)","Количество спортивных объектов (залов, площадок): в зимний сезон (Единица)",Прокат спортивного инвентаря: в летний сезон (Единица),Прокат спортивного инвентаря: в зимний сезон (Единица),"Число концертных площадок, павильонов (Единица)",Количество игровых объектов на детских площадках: в летний сезон (Единица),Количество игровых объектов на детских площадках: в зимний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в летний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в зимний сезон (Единица),Количество туалетов: в летний сезон (Единица),Количество туалетов: в зимний сезон (Единица),Наличие доступа в Интернет (Единица),Число культурно-массовых и физкультурно-оздоровительных мероприятий: всего (Единица),Численность работников: всего (Человек),Численность работников: штатных (Человек)
277305,Солнечногорский ПКО,"141503, Московская обл., район Солнечногорский, город Солнечногорск, улица Крупской, дом 3",365,"12,7",12,,5,6,5,TRUE,TRUE,1,33,34,380,180,5,3,TRUE,102,14,14
274383,Гурьевский ПКО,"238300, Калининградская обл., район Гурьевский, город Гурьевск, улица Калининградское шоссе, дом 6А",365,"12,7",6,,,4,1,TRUE,TRUE,1,30,15,500,30,1,1,TRUE,40,14,14
270194,Тимашевский ГПКО,"352702, Краснодарский край, район Тимашевский, город Тимашевск, улица Красная, дом 8",301,"6,4",13,,2,2,2,,,1,16,16,,,1,1,TRUE,152,14,14
284879,ПКО им.Г.И.Чиряева г.Нерюнгри,"Респ. Саха (Якутия), город Нерюнгри, улица Карла Маркса",247,"6,1",8,,,4,4,,,,,,,,,,TRUE,15,14,14
277165,Городские парки  Сергиева Посада,"141300, Московская обл., район Сергиево-Посадский, город Сергиев Посад, улица Вознесенская, дом 55",365,"29,9",23,,13,7,6,TRUE,,2,13,11,32,,6,3,TRUE,123,13,13
279118,ПКО им.300-летия г.Таганрога,"347932, Ростовская обл., город Таганрог, улица Сергея Шило, дом 196",365,10,,,,,,,,,,,,,1,,TRUE,10,13,13
271205,"ПКО, Изобильный","Ставропольский край, район Изобильненский, город Изобильный, улица Красная",170,"8,2",3,,,,,,,,3,3,,,1,,TRUE,172,13,11
277381,"ПКО ""Городок"", Руза","143103, Московская обл., район Рузский, город Руза, улица Красноармейская, дом 1",365,"6,3",6,,1,3,2,,TRUE,1,2,2,60,,3,2,TRUE,128,13,13
271578,Амурский ботанический сад,"682641, Хабаровский край, город Амурск, улица Школьная, дом 11",247,"0,8",1,,1,,,,,,,,,,1,1,TRUE,820,13,13
271417,Парки культуры и отдыха городского округа Ступино,"Московская обл., район Ступинский, город Ступино, рабочий поселок Михнево, улица Гоголя",365,"28,7",26,,12,5,2,,,3,42,42,52,20,4,4,TRUE,193,12,12
