time,source,destination,protocol,length,tcp_retransmission,srcport,dstport,flags,seq_ack,win,len,mss,10
1.821857,172.16.0.8,64.13.134.52,TCP,58,False,36050,1296,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.821921,172.16.0.8,64.13.134.52,TCP,58,False,36050,9102,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.8803,172.16.0.8,64.13.134.52,TCP,58,False,36051,9917,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.880367,172.16.0.8,64.13.134.52,TCP,58,False,36051,1311,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.8804349999999999,172.16.0.8,64.13.134.52,TCP,58,False,36051,1247,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.8805,172.16.0.8,64.13.134.52,TCP,58,False,36051,14442,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.880568,172.16.0.8,64.13.134.52,TCP,58,False,36051,7676,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.8806349999999998,172.16.0.8,64.13.134.52,TCP,58,False,36051,33899,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.8807,172.16.0.8,64.13.134.52,TCP,58,False,36051,4003,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.880771,172.16.0.8,64.13.134.52,TCP,58,False,36051,1067,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.8808369999999999,172.16.0.8,64.13.134.52,TCP,58,False,36051,5903,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.880902,172.16.0.8,64.13.134.52,TCP,58,False,36051,9200,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.8809669999999998,172.16.0.8,64.13.134.52,TCP,58,False,36051,2005,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.8810310000000001,172.16.0.8,64.13.134.52,TCP,58,False,36051,843,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.881099,172.16.0.8,64.13.134.52,TCP,58,False,36051,2701,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.8811630000000001,172.16.0.8,64.13.134.52,TCP,58,False,36051,1300,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.881228,172.16.0.8,64.13.134.52,TCP,58,False,36051,1075,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.945355,172.16.0.8,64.13.134.52,TCP,58,False,36051,9102,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.945441,172.16.0.8,64.13.134.52,TCP,58,False,36051,1296,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.945495,172.16.0.8,64.13.134.52,TCP,58,False,36051,5101,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.9455470000000001,172.16.0.8,64.13.134.52,TCP,58,False,36051,24,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.945599,172.16.0.8,64.13.134.52,TCP,58,False,36051,52848,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.9456509999999998,172.16.0.8,64.13.134.52,TCP,58,False,36051,15004,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.945703,172.16.0.8,64.13.134.52,TCP,58,False,36051,32,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.945755,172.16.0.8,64.13.134.52,TCP,58,False,36051,10626,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.945819,172.16.0.8,64.13.134.52,TCP,58,False,36051,1024,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.9458830000000003,172.16.0.8,64.13.134.52,TCP,58,False,36051,5822,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.945947,172.16.0.8,64.13.134.52,TCP,58,False,36051,7200,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.9460119999999999,172.16.0.8,64.13.134.52,TCP,58,False,36051,1187,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.946076,172.16.0.8,64.13.134.52,TCP,58,False,36051,3077,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.946141,172.16.0.8,64.13.134.52,TCP,58,False,36051,3826,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.9462080000000002,172.16.0.8,64.13.134.52,TCP,58,False,36051,8291,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.946277,172.16.0.8,64.13.134.52,TCP,58,False,36050,5959,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.9463409999999999,172.16.0.8,64.13.134.52,TCP,58,False,36050,425,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.946406,172.16.0.8,64.13.134.52,TCP,58,False,36050,9500,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.9465189999999999,172.16.0.8,64.13.134.52,TCP,58,False,36050,14000,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
